section,element,suggested_copy,cta,notes
Hero,headline,"Language Justice, Worker-Owned in Indianapolis","Get a Quote; Join the Co-op","Keep H1 short, include local keywords"
Mission,snapshot,"We connect organizations with trusted language workers and build equitable livelihoods.","Learn About Our Model","Include cooperative signal"
Services,interpretation,"On-site and remote interpretation for healthcare, legal, education and events","Request Service","20-35 word blurb"
Services,translation,"Document translation, localization, plain-language editing","Request Service","Include file upload option on detail page"
Services,training,"Cultural competency and professional development workshops","Request Training","List typical audiences"
Services,cultural_brokering,"Cross-cultural mediation, intake support, policy advising","Contact Us","Clarify scope and deliverables"
Membership,benefits,"Visibility, calendar, governance, fair pay","Join the Co-op","Link to member FAQ and bylaws"
Calendar,preview,"Upcoming events with language, provider, price, location","View Full Calendar","Include iCal subscribe"
FindProvider,search,"Search by language, service, date, location","Contact Provider","Support basic filters"
CaseStudy,example,"Hospital X: medical interpretation program reduced wait times by 25%","See More Work","Include 3 metrics"
HowItWorks,steps,"1. Request → 2. Match & Confirm → 3. Deliver & Pay","Request a Quote","Clear turnaround times"
CTA,band,"Two-line CTA: Book services or join the cooperative","Request Service; Become a Member","Prominent, high-contrast band"
Footer,contact,"Contact info, emergency interpretation line, newsletter signup","Contact","Accessibility & privacy links"
